Variety	TokenID	TextID	LineID	SpeakerID	Corpus	Genre	GenreCode	Register	Mode	WholeConstructionPlain	Verb	Particle	VerbPart	VerbForm	DirObjPlain	DirObjHeadPlain	Response	DirObjWordLength	DirObjLettLength	DirObjExprType	DirObjDefiniteness	DirObjGivenness	DirObjConcreteness	Semantics	DirObjThematicity	DirectionalPP	PrimeType	VerbFreq	PartFreq	VerbPartFreq	DeltaP.cueV	DeltaP.cueP	PMI	t.score	DICE	LogLikR	Surprisal.P	Surprisal.V	PartOnset	CValternation	CValternation2	CV.binary	JoinedDist	SplitDist	StressClash	Rhythm
CA	PART438	CAN:S2B-023:1	CAN:S2B-023:1:24	CAN:S2B-023:1:24:A	ICE	ScriptedMono	d	spok.formal	spoken	turn Canada over	turn	over	turn over	turn	Canada	Canada	Discontinuous	1	6	np	def	new	Nonconcrete	non-compositional	33.97612489	yes	Discontinuous	318	1131	7	0.020888221	0.005877861	4.282657322	2.509813365	0.009661836	28.45739728	5.505528033	7.336028292	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4380	NZ:W2B-002:1	NZ:W2B-002:1:105	NZ:W2B-002:1:105	ICE	PopularWrit	h	writ.formal	written	set up a whaling station	set	up	set up	set	a whaling station	station	Continuous	3	15	nc	indef	given	Nonconcrete	non-compositional	10.24025207	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4383	NZ:S1B-018:1	NZ:S1B-018:1:45	NZ:S1B-018:1:45:L	ICE	PublicDia	b	spok.formal	spoken	set up an automatic barrier to communication	set	up	set up	set	an automatic barrier to communication	barrier	Continuous	5	33	nc	indef	new	Nonconcrete	non-compositional	0.832639467	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4386	NZ:S2A-059:1	NZ:S2A-059:1:97	NZ:S2A-059:1:97:G	ICE	UnscriptMono	c	spok.informal	spoken	set up an initial password	set	up	set up	set	an initial password	password	Continuous	3	17	nc	indef	given	Nonconcrete	non-compositional	3.636363636	no	Continuous	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4387	NZ:S2A-059:1	NZ:S2A-059:1:100	NZ:S2A-059:1:100:G	ICE	UnscriptMono	c	spok.informal	spoken	set up another new user	set	up	set up	set	another new user	user	Continuous	3	14	nc	indef	new	Concrete	non-compositional	10.18181818	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
NZ	PART4388	NZ:W2B-028:1	NZ:W2B-028:1:105	NZ:W2B-028:1:105	ICE	PopularWrit	h	writ.formal	written	setting up programmes	set	up	set up	setting	programmes	programme	Continuous	1	10	nc	indef	given	Nonconcrete	non-compositional	3.54767184	no	Continuous	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	1	1	no	0
NZ	PART4389	NZ:W1B-024:5	NZ:W1B-024:5:118	NZ:W1B-024:5:118	ICE	Letters	f	writ.informal	written	set up the first draft	set	up	set up	set	the first draft	draft	Continuous	3	13	nc	def	new	Nonconcrete	non-compositional	1.829826167	no	Continuous	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
CA	PART439	CAN:S2A-005:1	CAN:S2A-005:1:98	CAN:S2A-005:1:98:B	ICE	UnscriptMono	c	spok.informal	spoken	turned his stick over	turn	over	turn over	turned	his stick	stick	Discontinuous	2	8	nc	def	new	Concrete	compositional	5.46946217	no	none	318	1131	7	0.020888221	0.005877861	4.282657322	2.509813365	0.009661836	28.45739728	5.505528033	7.336028292	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4391	NZ:W2C-009:6	NZ:W2C-009:6:96	NZ:W2C-009:6:96	ICE	Reportage	i	writ.informal	written	set up the unit	set	up	set up	set	the unit	unit	Continuous	2	7	nc	def	given	Nonconcrete	non-compositional	9.086778737	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
NZ	PART4392	NZ:W2E-003:3	NZ:W2E-003:3:58	NZ:W2E-003:3:58	ICE	PersuasiveWrit	k	writ.informal	written	set up the Video Recordings Authority	set	up	set up	set	the Video Recordings Authority	authority	Continuous	4	27	nc	def	given	Nonconcrete	non-compositional	2.85986654	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
NZ	PART4393	NZ:W2A-039:1	NZ:W2A-039:1:27	NZ:W2A-039:1:27	ICE	AcademicWrit	g	writ.formal	written	set up the Waste Management Policy Group	set	up	set up	set	the Waste Management Policy Group	group	Continuous	5	29	nc	def	new	Nonconcrete	non-compositional	0.44513688	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
NZ	PART4394	NZ:W2B-002:1	NZ:W2B-002:1:114	NZ:W2B-002:1:114	ICE	PopularWrit	h	writ.formal	written	set up their observatory	set	up	set up	set	their observatory	observatory	Continuous	2	16	nc	def	new	Nonconcrete	non-compositional	1.575423395	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4395	NZ:W2C-015:3	NZ:W2C-015:3:92	NZ:W2C-015:3:92	ICE	Reportage	i	writ.informal	written	set up two of Auckland's five tries	set	up	set up	set	two of Auckland's five tries	two	Continuous	5	23	nc	indef	given	Nonconcrete	non-compositional	7.681228997	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4396	NZ:S2A-059:1	NZ:S2A-059:1:3	NZ:S2A-059:1:3:G	ICE	UnscriptMono	c	spok.informal	spoken	setting up victoria micros	set	up	set up	setting	victoria micros	micros	Continuous	2	14	nc	indef	new	Nonconcrete	non-compositional	0.727272727	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	1	2	no	1
NZ	PART4397	NZ:S2A-059:1	NZ:S2A-059:1:122	NZ:S2A-059:1:122:G	ICE	UnscriptMono	c	spok.informal	spoken	set up your folders	set	up	set up	set	your folders	folder	Continuous	2	11	nc	def	new	Concrete	non-compositional	10.18181818	no	Continuous	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4398	NZ:W2C-006:2	NZ:W2C-006:2:70	NZ:W2C-006:2:70	ICE	Reportage	i	writ.informal	written	set up branches	set	up	set up	set	branches	branch	Continuous	1	8	nc	indef	new	Nonconcrete	non-compositional	0.910332271	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4399	NZ:S2A-059:1	NZ:S2A-059:1:125	NZ:S2A-059:1:125:G	ICE	UnscriptMono	c	spok.informal	spoken	set up tom	set	up	set up	set	tom	tom	Continuous	1	3	np	def	new	Concrete	non-compositional	10.18181818	no	Continuous	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
CA	PART44	CAN:W2F-019:1	CAN:W2F-019:1:27	CAN:W2F-019:1:27	ICE	CreativeWrit	l	writ.informal	written	take up baton twirling	take	up	take up	take	baton twirling	twirling	Continuous	2	13	nc	indef	new	Nonconcrete	non-compositional	0.873743993	no	none	1798	2373	30	0.014337985	0.01087002	2.813785474	4.698244695	0.01438504	66.20755501	5.90528671	6.30560579	V	CV	CV.VC	other	0	0	yes	0
CA	PART440	CAN:S2A-056:1	CAN:S2A-056:1:23	CAN:S2A-056:1:23:A	ICE	UnscriptMono	c	spok.informal	spoken	turn the chart over	turn	over	turn over	turn	the chart	chart	Discontinuous	2	8	nc	def	new	Concrete	compositional	4.418912947	no	none	318	1131	7	0.020888221	0.005877861	4.282657322	2.509813365	0.009661836	28.45739728	5.505528033	7.336028292	V	CV	CV.VC	other	0	1	yes	1
NZ	PART4400	NZ:S1A-004:1	NZ:S1A-004:1:171	NZ:S1A-004:1:171:G	ICE	PrivateDia	a	spok.informal	spoken	set up our room	set	up	set up	set	our room	room	Continuous	2	7	nc	def	new	Nonconcrete	non-compositional	2.830188679	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4401	NZ:S2A-059:1	NZ:S2A-059:1:112	NZ:S2A-059:1:112:G	ICE	UnscriptMono	c	spok.informal	spoken	set up our users	set	up	set up	set	our users	user	Continuous	2	8	nc	def	new	Concrete	non-compositional	10.18181818	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4402	NZ:W2B-028:1	NZ:W2B-028:1:103	NZ:W2B-028:1:103	ICE	PopularWrit	h	writ.formal	written	setting up recycling centres	set	up	set up	setting	recycling centres	centre	Continuous	2	16	nc	indef	given	Nonconcrete	non-compositional	0.88691796	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	1	2	no	1
NZ	PART4403	NZ:S2A-006:1	NZ:S2A-006:1:119	NZ:S2A-006:1:119:P	ICE	UnscriptMono	c	spok.informal	spoken	set up that point	set	up	set up	set	that point	point	Continuous	2	9	nc	def	new	Nonconcrete	non-compositional	9.732360097	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	0	yes	0
NZ	PART4404	NZ:S2A-059:1	NZ:S2A-059:1:116	NZ:S2A-059:1:116:G	ICE	UnscriptMono	c	spok.informal	spoken	set up the connections	set	up	set up	set	the connections	connection	Continuous	2	14	nc	def	new	Nonconcrete	non-compositional	0.727272727	no	Continuous	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	2	yes	2
NZ	PART4405	NZ:W2F-007:1	NZ:W2F-007:1:182	NZ:W2F-007:1:182	ICE	CreativeWrit	l	writ.informal	written	set up the deals	set	up	set up	set	the deals	deal	Continuous	2	8	nc	def	given	Nonconcrete	non-compositional	1.404494382	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
NZ	PART4406	NZ:S1A-079:1	NZ:S1A-079:1:81	NZ:S1A-079:1:81:R	ICE	PrivateDia	a	spok.informal	spoken	set up the filter	set	up	set up	set	the filter	filter	Continuous	2	9	nc	def	new	Nonconcrete	non-compositional	0.855798032	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
NZ	PART4407	NZ:S2B-017:2	NZ:S2B-017:2:56	NZ:S2B-017:2:56:G	ICE	ScriptedMono	d	spok.formal	spoken	set up the scenario	set	up	set up	set	the scenario	scenario	Continuous	2	11	nc	def	new	Nonconcrete	non-compositional	0.859106529	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	2	yes	2
NZ	PART4408	NZ:S2A-059:1	NZ:S2A-059:1:92	NZ:S2A-059:1:92:G	ICE	UnscriptMono	c	spok.informal	spoken	setting up the users	set	up	set up	setting	the users	user	Continuous	2	8	nc	def	given	Concrete	non-compositional	10.18181818	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	1	2	no	1
NZ	PART4409	NZ:S2A-059:1	NZ:S2A-059:1:121	NZ:S2A-059:1:121:G	ICE	UnscriptMono	c	spok.informal	spoken	set up the users	set	up	set up	set	the users	user	Continuous	2	8	nc	def	new	Concrete	non-compositional	10.18181818	no	none	506	3575	158	0.308834235	0.043846556	6.448628216	12.42589276	0.077432002	1161.381796	1.679212827	4.499946778	V	CV	CV.VC	other	0	1	yes	1
CA	PART441	CAN:W2D-017:1	CAN:W2D-017:1:72	CAN:W2D-017:1:72	ICE	InstructWrit	j	writ.formal	written	turned the pool over	turn	over	turn over	turned	the pool	pool	Discontinuous	2	7	nc	def	given	Nonconcrete	non-compositional	11.3960114	yes	Discontinuous	318	1131	7	0.020888221	0.005877861	4.282657322	2.509813365	0.009661836	28.45739728	5.505528033	7.336028292	V	CV	CV.VC	other	0	1	yes	1
